Employer Name, 
10 Count Counsulting
A Nerds World
ABORG
ACCEL Web Marketing
Accurate
Adjump
Aerogrpahics
Ajax Creative
Alcatel-Lucent
Algonquin College
AN Design Communications
Assent Compliance
Atomic Motion
Avida
Banfield Seguin
Baugrun Design Build
BB&M Advertising
Big Catch Communications
Big Jump Interactive
Bird Dog Design
Bite-Site
Black Iron Agency
Brand42
BroSun Media
Butter & Honey
Butter and Honey Grpahics
Bytown Group (The)
C.M.H.C.
Canada Post
Canadian Blood Services
Canadian Chamber of Commerce
Canadian Gas Association
Canadian Geographic Magazine
Canadian Maker (The)
Canadian Red Cross
Canvas Pop/DNA 11 Inc.
Cayenne Creative
Channel13
Character Creative
Charcoal Marketing
CHEO
Cinnamon Toast
City of Ottawa
City of Ottawa Community Arts and Social Engagement
Clear Water Clinical - Shoebox Audiometry 
Clever Print
Cold Front Labs
Colleges & Institutes Canada
Creative Services Comm
Creativision
Deja Printing
Department of National Defence 
DNA Genotek
Downtown Rideau B.I.A
DPS Original
eDealer
El Toro Studio
Elite Printing and Design
Emery Signs
Empire Grill
Employmenty and Social Dev Canada
Environment Canada Interdepartmental Task Team
Envision Up
Expographiq
Export Development Canada
Fable and Method Inc
Factoria Creativa
Farmboy
Fifty Strategy & Creative
Fireside Pictures
Force Five Media
Forge Media + Design
Fresh Air Educators Inc
Fuel
Gadar Promotions
Gilmore Publishing
Godzspeed Communications
Good Graphic Design
Goodfellow Creative
Gordon Group
Great River Media
Greater Good (The)
Green Melon
Gymtrack
Hanington & Lavergne
Happy Goat Coffee Co.
Head and Hands
Human Resourse Systems Group
Inky Design & Print
Inner Revolution
Jason Hawley
Jiffy Photo & Print
k. collective
K6 Media Inc
Kinaxis
Lee Valley Tools
Level Six
Loudmouth Printhouse
Magmic
Magnet Signs
Magnetic Bear Studios
Marketing Breakthroughs Inc
MASI Company
MasterpieceVR
Media One
Media Plus Advertising
Merchlar
Mercury Active
MicroMetrics
Monnet Design
N-Product Inc
National Defence
Nesta
Newbie Media & Design
Newprint
Northern Army
One Method
Ottawa Hospital (The)
Ottawa mHealth Lab
Ottawa Public Health
Ottawa Senators
Ottawa Sports and Entertainment Group
Physical and Health Education Canada
Powerstick
Privy Council Office
ProtypeD
Public Health
Public Works Canada
PWGSC Government of Canada
Pxlworks
Raised By Wolves
red box creative
Regional Recreation Corporation of Wood Buffalo
Richcraft Homes
Royal Embassy of Saudi Arabia
Salient Marketing
Scott Buckingham Media
Shared Inc
Shopify Inc.
Simple Story
SKM Software
SMITH
Smoke Labs
Soshal
Spark Advocacy
Spark Marketing
Speedpro Signs
Sprig Learning
St. Lawrence Parks Commission
SURE Print & Graphics
Symphonic Filmworks
Tendril
The Canadian Maker
The Royal Ottawa Foundation
Tom Lilly
Transport Canada
Transport Safety Board of Canada
TrueDot Design
Tweed Inc
UniForge Inc.
United Way Ottawa
Vagrant Web
Veronique Lafotrune
Victory Arts
Water Bridge Media
Waterbridge Media
Watermark Graphics
Win Translation
Xactly
Xquisit Communications
You.i
Youth Ottawa
